model,device,dtype,prompt_len,trial,token_index,token_ms
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,0,38.32987499999874
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,1,35.803334000000575
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,2,37.5418750000005
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,3,45.7926250000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,4,73.1789169999999
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,5,66.90312499999962
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,6,52.85950000000028
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,7,53.906583999999924
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,8,54.372624999999175
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,9,53.68783399999977
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,10,59.665332999999876
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,11,60.440665999999865
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,12,56.06466600000104
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,13,51.72687499999995
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,14,83.28874999999947
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,15,71.0147499999998
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,16,54.567499999999214
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,17,51.36700000000083
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,18,58.813500000001184
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,19,57.02458300000046
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,20,49.745833999999434
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,21,48.43241599999892
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,22,47.58879200000088
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,23,47.12533400000041
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,24,46.26733300000119
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,25,50.45349999999971
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,26,49.67124999999939
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,27,48.275666999998634
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,28,48.80633400000001
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,29,49.020499999999245
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,30,51.50837499999916
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,31,47.74150000000077
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,32,49.17804099999934
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,33,53.061833000001
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,34,56.2601659999995
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,35,48.079292000000606
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,36,49.0471250000013
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,37,48.76933299999919
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,38,47.39825000000053
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,39,46.658708000000715
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,40,47.18441600000034
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,41,49.33079200000101
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,42,49.516125000000244
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,43,49.82983299999866
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,44,48.70725000000142
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,45,46.898084000000395
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,46,47.29054200000071
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,47,50.81550000000057
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,48,49.64075000000001
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,49,49.305000000000376
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,50,47.05191599999914
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,51,47.460000000000946
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,52,48.50841700000075
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,53,48.74762500000074
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,54,48.48487499999976
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,55,51.66491700000009
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,56,49.80308300000047
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,57,48.12395899999977
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,58,44.18420800000078
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,59,52.7071250000013
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,60,50.607499999999916
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,61,46.57808299999999
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,62,48.18187499999915
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,63,47.381749999999556
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,64,49.00558399999966
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,65,50.359208999999794
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,66,49.98470800000021
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,67,50.9023750000015
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,68,47.12845800000132
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,69,47.7644159999997
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,70,52.6167080000004
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,71,48.30349999999939
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,72,50.73604099999862
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,73,48.340959000000794
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,74,48.19391599999889
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,75,48.40399999999967
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,76,48.26124999999948
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,77,47.508207999999996
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,78,48.76416699999986
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,79,53.43874999999976
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,80,50.681917000000354
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,81,48.18783300000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,82,47.09812499999977
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,83,47.20704100000006
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,84,52.620833000000644
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,85,52.606208000000265
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,86,48.49320800000001
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,87,47.87862500000095
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,88,52.568209000000365
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,89,48.377957999999666
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,90,47.59220800000108
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,91,45.75900000000033
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,92,49.938250000000295
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,93,51.104083000000244
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,94,50.74833299999959
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,0,95,49.74979200000007
